time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
300000,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300000,UAV_01,RELAY,UAV,-1335014.1,5327171.0,3233600.3,10.0.0.2,22.5,70.0
300000,UAV_02,RELAY,UAV,-1335001.8,5326390.6,3234882.5,10.0.0.3,285.9,70.0
300000,UAV_03,RELAY,UAV,-1336224.1,5327670.2,3232287.4,10.0.0.4,52.1,70.0
300100,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300100,UAV_01,RELAY,UAV,-1335014.5,5327170.2,3233601.5,10.0.0.2,21.1,70.0
300100,UAV_02,RELAY,UAV,-1335000.4,5326390.7,3234882.8,10.0.0.3,285.9,70.0
300100,UAV_03,RELAY,UAV,-1336225.1,5327669.4,3232288.2,10.0.0.4,52.1,70.0
300200,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300200,UAV_01,RELAY,UAV,-1335014.9,5327169.4,3233602.7,10.0.0.2,21.1,70.0
300200,UAV_02,RELAY,UAV,-1334998.9,5326390.9,3234883.2,10.0.0.3,285.9,70.0
300200,UAV_03,RELAY,UAV,-1336226.1,5327668.7,3232289.0,10.0.0.4,52.1,70.0
300300,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300300,UAV_01,RELAY,UAV,-1335015.2,5327168.6,3233603.9,10.0.0.2,21.1,70.0
300300,UAV_02,RELAY,UAV,-1334997.5,5326391.0,3234883.5,10.0.0.3,285.9,70.0
300300,UAV_03,RELAY,UAV,-1336227.2,5327667.9,3232289.8,10.0.0.4,52.1,70.0
300400,GS_01,CLIENT,GS,-1334775.0,5327142.5,3233647.0,10.0.0.1,-1.0,-1
300400,UAV_01,RELAY,UAV,-1335015.6,5327167.8,3233605.1,10.0.0.2,21.1,70.0
300400,UAV_02,RELAY,UAV,-1334996.0,5326391.2,3234883.9,10.0.0.3,285.9,70.0
300400,UAV_03,RELAY,UAV,-1336228.2,5327667.2,3232290.6,10.0.0.4,52.1,70.0
